Date,GLD,IWM,QQQ,SPY,TLT,VNQ
2005-01-04,-0.006529845317733264,-0.021669589163049476,-0.018396512199290237,-0.012294684394978411,-0.01053555991376051,-0.015143649752154336
2005-01-05,-0.0016392348746523818,-0.020189884453371318,-0.006206918191789086,-0.006924359536273175,0.005339099657390135,-0.033807417674602755
2005-01-06,-0.012261333638891793,0.005288797450643326,-0.004942623780910503,0.005071534718625729,0.0006791328305948504,0.007674173812599504
2005-01-07,-0.007381897245418499,-0.011179610878675727,0.005201702246288547,-0.0014345580586159741,0.0022617235999760114,-0.002240301706677131
2005-01-10,0.002625627696485633,0.010123856992171018,-0.0005189195419191363,0.00471714158881625,0.0015802107160578691,-0.003181898916696569
2005-01-11,0.006178687004495116,-0.012259509213879173,-0.007032364616190217,-0.006914527333088743,0.0058449054790648495,-0.010175374851646558
2005-01-12,0.009197079351984367,0.004102811646407976,0.008329158924759772,0.003294033439050356,0.001345494098814394,-0.004745855653697655
2005-01-13,0.0,-0.0030347058161761214,-0.013307226084662458,-0.00804407833371357,0.009582565748755052,0.0
2005-01-14,-0.0065944371176744334,0.009484045626867152,0.009411787202355082,0.005257255338068771,-0.00011038957073874205,0.012292999239587002
2005-01-18,0.0,0.011810814635785902,0.007517311189042586,0.010349003444569458,0.003320597913523542,0.009727241184099488
2005-01-19,-0.0014188078686102948,-0.014417665799721811,-0.01666646995311687,-0.010517949873732868,0.0028696879826448046,0.0009299449120253605
2005-01-20,-0.00023661866710279286,-0.005973939353469895,-0.019356310151020347,-0.006109008416275619,0.001981506155760259,-0.003165970108900777
2005-01-21,0.011530935359385552,-0.0023005900717273592,-0.008064519413922097,-0.006146365290492738,0.0010997387215947573,0.0009326304661040906
2005-01-24,0.0007016437791639085,-0.007680207264293519,-0.014134520801353532,-0.001971646421153132,0.004275859272685214,-0.008047588376796594
2005-01-25,-0.012469253807297102,0.0025665451085392543,0.0049153320734074985,0.0028279449143249974,-0.009453893564098936,-0.018968981827683015
2005-01-26,0.010596989466519383,0.013224769665791456,0.011913713005283821,0.0029897965047324736,0.0018767567974967226,-0.0030681929893142485
2005-01-27,-0.0016410669918453088,0.0028519667852740975,-0.0013462642964158196,0.0017041493123599264,-0.0018767567974967549,-0.007133102909432209
2005-01-28,0.001641066991845344,-0.0008141120207968054,-0.004863295253958975,0.0,0.010000760774418926,0.0015464789911270906
2005-01-31,-0.011070597267868664,0.01165813691106593,0.012917052270172476,0.006197928416524975,0.0028393081736615786,-0.0011596797953370716
