Date,SPY,QQQ,IWM,TLT,GLD,VNQ
2005-01-07,,,,,,
2005-01-14,,,,,,
2005-01-21,,,,,,
2005-01-28,,,,,,
2005-02-04,0.0023240676862541928,-0.002423185765621121,-7.66728130805366e-05,0.0024125657226678893,0.0039047063031671697,0.003911827611013607
2005-02-11,0.001682816148713594,-0.00031053526764256953,0.0018243445356113377,-0.0008788547460891105,0.006590541901118058,-0.00136248878358225
2005-02-18,0.0010133435558469415,0.009242729356591577,0.0032761085354218,0.0008985030060020475,0.006777225429962067,-0.0024649437168600464
2005-02-25,0.005221499799652973,0.005628694727586251,0.0010588158655458577,0.0014542795568814487,0.0020663879874481894,0.001947848489652282
2005-03-04,0.000406702704568227,0.00042518556541719995,0.0004541038221792439,-0.002872776565299598,0.0054394683809790905,0.00030252931721840964
2005-03-11,0.002381877313844161,0.002867904159647995,-0.00041989619293203206,0.0034830933654174927,0.003240132048142377,0.0015150283179017512
2005-03-18,0.0018477236964426608,0.0047139259275304,0.003988924578821338,-0.000321949061163843,-0.0017226366425931075,0.004297232806777584
2005-03-25,0.0027532416378633676,-0.001885167875421496,0.0025287133279750717,0.002796748003449677,0.003070977108359411,0.0011782173795950725
2005-04-01,0.005241619043681188,0.00488665322470191,0.006229500980214823,-0.0013205086276214095,0.003138464756976562,0.0034454109745879037
2005-04-08,-0.0019799880298781865,0.005094740375120698,-0.0018403402483497392,0.007411640342801447,0.001953556403555901,-0.0008721316928144084
2005-04-15,0.003682846884257448,0.005565320680745353,0.0038374286152904444,-0.0020683932627457943,0.0038538385859383717,0.002563097047877647
2005-04-22,0.0002757800484986747,-0.003343893769428764,0.0037020834431886274,0.0046833042870048245,0.004567894878646946,0.006910923632151989
2005-04-29,0.0016697690145267019,0.0030660169297024222,0.0019229497007033796,-0.002102158509942806,-0.0009137617258254775,0.0008325619005154106
2005-05-06,0.0020722781701754153,0.004930608215814898,-0.0029013316134015874,0.0056708702179500605,0.00024987482769978894,0.00021393374065876132
2005-05-13,0.0019351881891149763,0.01082406991922095,0.001527842176563865,3.858720749122862e-05,-0.0018113450644089899,0.001859896273390358
2005-05-20,0.0030069320993914624,0.002933973260269132,0.0024862089417525966,0.0020910078819863067,0.0013848235117700008,-0.0050608025965350285
2005-05-27,0.0024541243073312275,-0.0025779250345046977,0.0012465876057678406,0.002797106519746634,-0.0010062095616713235,-0.002704959477373389
2005-06-03,0.0005706497083553328,0.0016768515221195991,0.006337201883520353,-0.0012351544916410656,0.0006086168947547314,-0.0002830688529732552
2005-06-10,0.006038302214063084,0.0011824442763066956,0.0006703143153417261,0.0016255277651959896,0.001814456518480435,-0.0007651595930791639
2005-06-17,0.0011995560619971805,-0.001953788935380359,-0.00530979225405903,0.00195068452758956,0.0033053406632662166,-0.0011344614777628326
2005-06-24,0.0019539432045533214,0.002930160666450964,0.006210015612898597,-0.0025507783066081053,0.004566097316869203,0.001022074882392259
2005-07-01,0.0022019633301006668,0.01900860510425028,0.0012468984492168085,0.001741212685404973,0.004431730864131256,0.00489719398058601
2005-07-08,0.002564350857727172,0.004317530612608857,0.00031673820337172956,0.0008173366358288698,0.006841771012368325,-0.004546670941736301
2005-07-15,0.0002224161778662699,-7.100454851381484e-05,0.0027494020623904315,-0.0033397843317629623,0.004655374110571308,-0.00037065242191665663
2005-07-22,0.001876577571148982,0.0016876517703095964,0.0003725395078811172,-0.0008576947122086385,0.0009735519100017389,0.001749409832867327
2005-07-29,0.0022909325371333077,0.006185155952506808,-0.0006717497706955187,-0.0016093852319335905,0.0028093968787531003,-0.007007821555528525
2005-08-05,0.002071506876183079,0.0037392809702945663,0.0023198158973922974,0.002807817057382641,0.003664352275894932,-0.007030356703963928
